input,expected
"Itchy skin, particularly on the hands and feet",Gestational Cholestasis
"Abdominal pain, bleeding, organ dysfunction",Injury to Internal Organ
"Intense itching, especially at night, small blisters or bumps",Scabies
"Cloudy or hazy eyes, excessive tearing, sensitivity to light",Congenital Glaucoma
"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight",Avoidant/Restrictive Food Intake Disorder (ARFID)
"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness",Subdural hemorrhage
"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress",Poisoning due to Antidepressants
Lower abdominal pain and discomfort occurring around the time of ovulation,Mittelschmerz
"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light",Cornea Infection
"Blurred distance vision, eyestrain, squinting",Myopia
"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue",Abscess of the Lung
"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth",Congenital rubella
"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation",Intertrigo
"Red, swollen, itchy bumps",Insect Bites
"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion",Complex Regional Pain Syndrome
"Excessive worrying, restlessness, increased heart rate, panic attacks",Anxiety
"Heartburn, acid reflux, chest pain",Gastroesophageal Reflux Disease (GERD)
"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area",Crushing Injury
"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement",Cellulitis
"Pain during bowel movements, rectal bleeding",Anal Fissure
"Shooting or burning pain, tingling or numbness",Neuropathic Pain
"cough, sore throat, runny nose, sneezing",Common Cold
"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms",Food Allergy
"Shortness of breath, dry cough, fatigue",Pulmonary Fibrosis
"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor",Hyperosmotic Hyperketotic State
"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream",Overflow Incontinence
"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool",Abdominal Injury
Excessive hair growth in women,Hirsutism
"Sharp, shooting pain along the affected nerve",Neuralgia
"Painless lump or swelling, Facial changes",Warthin tumor
"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear",Presbycusis
"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)",Opioid Use Disorder
"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness",Panic disorder
"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness",Esophageal Cancer
"Slurred speech, impaired coordination, confusion",Alcohol Intoxication
"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation",Pilonidal Cyst
High blood sugar levels during pregnancy,Gestational Diabetes
"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings",Drug Withdrawal
"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability",Fetal Alcohol Syndrome
"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen",Polycythemia Vera
"Joint pain, stiffness, swelling",Osteoarthritis
"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs",Fracture of the Neck
"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face",Myoclonus
